time,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
13:00:00,3,0,1,1,32.8,37.12,52,11.0014,59,221,280
18:00:00,3,0,1,1,32.8,35.605,36,0,109,723,832
9:00:00,1,0,1,1,4.92,6.82,50,12.998,7,198,205
23:00:00,1,0,1,1,11.48,13.635,61,15.0013,3,51,54
15:00:00,4,0,1,1,17.22,21.21,50,19.0012,28,209,237
6:00:00,4,0,1,2,22.96,26.515,73,19.9995,6,141,147
23:00:00,2,0,1,1,23.78,27.275,49,19.9995,8,78,86
10:00:00,1,0,0,1,9.84,12.88,87,7.0015,31,193,224
11:00:00,2,0,1,2,24.6,29.545,73,19.9995,45,59,104
17:00:00,4,0,1,1,20.5,24.24,45,11.0014,39,489,528
7:00:00,1,0,1,3,9.02,10.605,93,15.0013,1,48,49
20:00:00,3,0,1,1,29.52,34.09,66,15.0013,51,340,391
5:00:00,1,0,0,3,10.66,12.88,81,12.998,0,4,4
6:00:00,2,0,1,1,14.76,18.18,81,6.0032,8,74,82
6:00:00,4,0,1,1,13.94,16.665,61,11.0014,2,146,148
7:00:00,3,0,1,1,21.32,25,63,15.0013,16,529,545
8:00:00,1,0,1,2,17.22,21.21,77,12.998,26,246,272
9:00:00,1,0,1,1,5.74,6.06,50,22.0028,2,137,139
19:00:00,1,0,1,2,14.76,17.425,50,11.0014,11,270,281
10:00:00,2,0,1,3,22.14,25.76,88,16.9979,6,53,59
23:00:00,1,0,1,3,6.56,7.575,80,12.998,0,37,37
1:00:00,3,1,0,1,27.88,31.82,74,0,27,96,123
15:00:00,1,0,1,2,8.2,10.605,37,11.0014,9,63,72
23:00:00,2,0,1,3,24.6,27.275,88,8.9981,6,67,73
22:00:00,3,0,1,2,22.96,26.515,68,11.0014,25,104,129
8:00:00,3,0,0,2,31.16,35.605,58,16.9979,28,134,162
5:00:00,1,0,1,1,4.1,5.305,54,16.9979,0,3,3
